,ID,DATE,ROUTE_SURVEYED,BOARDING_LOCATION,BOARDING_LAT,BOARDING_LON,TRANSFERS_FROM_FIRST,ORIGIN_LAT_100M,ORIGIN_LON_100M,TIME_ON,route_type,Vertical_direction,Horizontal_direction
0,1,2016-04-11 00:00:00,BLUE METRO Blue Line [SB],Warehouse Hennepin Ave Station,44.980003,-93.273144,6 U of M - Hennepin - Xerxes - France - Southdale [ Minneapolis Metro Transit ],44.948,-93.299,12:00 pm - 1:00 pm,6,0.03200300000000311,0.025856000000004542
1,2,2016-04-11 00:00:00,BLUE METRO Blue Line [SB],38th St Station,44.934613,-93.229421,22 Brklyn Ctr - Lyndale Av N - Cedar - 28th Av S - VA [ Minneapolis Metro Transit ],44.955,-93.246,12:00 pm - 1:00 pm,22,-0.02038699999999949,0.016578999999993016
3,4,2016-04-11 00:00:00,BLUE METRO Blue Line [NB],MOA Transit Station,44.854287,-93.238861,RED METRO Red Line [ Minnesota Valley Transit ],44.83,-93.153,4:00 - 5:00 pm,RED,0.024287000000001058,-0.08586099999999419
7,8,2016-04-12 00:00:00,GREEN METRO Green Line [WB],Capitol / Rice St Station,44.955749,-93.105534,62 Rice St - Little Canada - Shoreview - Signal Hills [ Minneapolis Metro Transit ],45.107,-93.127,3:00 - 4:00 pm,62,-0.15125100000000202,0.02146599999998955
10,11,2016-04-12 00:00:00,GREEN METRO Green Line [EB],Nicollet Mall Station,44.978491,-93.269912,18 Nicollet Av - South Bloomington [ Minneapolis Metro Transit ],44.947,-93.278,4:00 - 5:00 pm,18,0.031490999999995495,0.008088000000000761
13,14,2016-04-12 00:00:00,GREEN METRO Green Line [EB],Dale St Station,44.955682,-93.125945,65 Dale St - Co Rd B - Rosedale [ Minneapolis Metro Transit ],45.006,-93.145,4:00 - 5:00 pm,65,-0.0503179999999972,0.019054999999994493
18,19,2016-04-12 00:00:00,GREEN METRO Green Line [WB],Central Station,44.94607,-93.092202,54 Ltd Stop - W 7St - Airport - MOA [ Minneapolis Metro Transit ],44.874,-93.228,8:00 - 9:00 pm,54,0.07206999999999653,0.1357979999999941
19,20,2016-04-13 00:00:00,21 Uptown - Lake St - Selby  Av [EB],Uptown Station Leave & Gates D/E,44.950073,-93.297885,6 U of M - Hennepin - Xerxes - France - Southdale [ Minneapolis Metro Transit ],44.922,-93.327,7:00 - 8:00 am,6,0.028073000000006232,0.029115000000004443
20,21,2016-04-13 00:00:00,21 Uptown - Lake St - Selby  Av [EB],Uptown Station & Terminal,44.950079,-93.297545,12 Uptown - Excelsior Blvd - Hopkins - Opus [ Minneapolis Metro Transit ],44.938,-93.332,7:00 - 8:00 am,12,0.012078999999999951,0.03445499999999413
21,22,2016-04-13 00:00:00,21 Uptown - Lake St - Selby  Av [EB],Chicago Lake Transit Center & Gate A,44.949296,-93.26228,5 Brklyn Center - Fremont - 26th Av - Chicago - MOA [ Minneapolis Metro Transit ],45.034,-93.295,8:00 - 9:00 am,5,-0.08470400000000211,0.03271999999999764
24,25,2016-04-13 00:00:00,21 Uptown - Lake St - Selby  Av [WB],Marshall Ave & Cleveland Ave,44.948417,-93.187244,87 Rosedale - U of M St Paul - Cleveland Av [ Minneapolis Metro Transit ],44.954,-93.179,9:00 - 10:00 am,87,-0.005583000000001448,-0.008244000000004803
37,38,2016-04-14 00:00:00,BLUE METRO Blue Line [SB],Target Field Station Platform 1,44.983036,-93.27745,5 Brklyn Center - Fremont - 26th Av - Chicago - MOA [ Minneapolis Metro Transit ],45.008,-93.293,7:00 - 8:00 pm,5,-0.024964000000004205,0.015550000000004616
40,41,2016-04-14 00:00:00,BLUE METRO Blue Line [SB],U.S. Bank Stadium Station,44.97496,-93.259671,14 Robbinsdale-West Broadway-Bloomington Av [ Minneapolis Metro Transit ],44.967,-93.258,10:00 - 11:00 am,14,0.007960000000004186,-0.0016710000000017544
45,46,2016-04-14 00:00:00,BLUE METRO Blue Line [NB],MOA Transit Station,44.854287,-93.238861,538 Southdale - York Av - Southtown - 86th St - MOA [ Minneapolis Metro Transit ],44.845,-93.268,12:00 pm - 1:00 pm,538,0.00928700000000049,0.029139000000000692
47,48,2016-04-14 00:00:00,46 50St - 46St - 46St LRT- Highland Village [WB],46th St Station & Gate G,44.920882,-93.220341,BLUE METRO Blue Line [ Minneapolis Metro Transit ],44.945,-93.244,3:00 - 4:00 pm,BLUE,-0.024118000000001416,0.02365899999999499
53,54,2016-05-03 00:00:00,94 Express - Mpls - St Paul [EB],6th St S & 2nd Ave / 3rd Ave S,44.976266,-93.267811,672 Express - Wayzata - Minnetonka - Mpls [ Minneapolis Metro Transit ],44.977,-93.458,6:00 - 7:00 am,672,-0.0007339999999942393,0.19018900000000372
60,61,2016-05-03 00:00:00,94 Express - Mpls - St Paul [WB],6th St & Washington St,44.946139,-93.097264,74 46St - Randolph - W 7St - E 7St - Sunray [ Minneapolis Metro Transit ],44.971,-93.024,5:00 - 6:00 pm,74,-0.02486099999999425,-0.07326399999999467
63,64,2016-05-03 00:00:00,94 Express - Mpls - St Paul [WB],6th St & Jackson / Robert,44.948576,-93.091016,294 Express - Oakdale - Stillwater - St Paul [ Minneapolis Metro Transit ],45.04,-92.823,6:30 - 7:00 pm,294,-0.0914239999999964,-0.2680160000000029
67,68,2016-05-03 00:00:00,3 U of M - Como Av - Energy Park Dr - Maryland Av [EB],Eustis St & Como Ave,44.986876,-93.202386,30 Broadway Crosstown - Westgate Station [ Minneapolis Metro Transit ],44.998,-93.224,6:00 - 6:30 pm,30,-0.011123999999995249,0.021613999999999578
70,71,2016-05-03 00:00:00,3 U of M - Como Av - Energy Park Dr - Maryland Av [WB],Kellogg Blvd & Minnesota St,44.945305,-93.090416,70 St Clair Av - W 7St - Burns Av - Sunray [ Minneapolis Metro Transit ],44.87,-93.004,6:00 - 6:30 pm,70,0.07530500000000018,-0.08641599999999983
72,73,2016-05-03 00:00:00,3 U of M - Como Av - Energy Park Dr - Maryland Av [WB],Rice St & University Ave,44.955639,-93.10582,GREEN METRO Green Line [ Minneapolis Metro Transit ],44.952,-93.16,6:30 - 7:00 pm,GREEN,0.003638999999999726,0.05418000000000234
74,75,2016-05-03 00:00:00,94 Express - Mpls - St Paul [WB],6th St & Jackson / Robert,44.948576,-93.091016,294 Express - Oakdale - Stillwater - St Paul [ Minneapolis Metro Transit ],44.966,-92.981,6:30 - 7:00 pm,294,-0.01742399999999833,-0.11001600000000167
75,76,2016-05-03 00:00:00,3 U of M - Como Av - Energy Park Dr - Maryland Av [EB],4th St N & Hennepin Ave,44.980493,-93.271522,12 Uptown - Excelsior Blvd - Hopkins - Opus [ Minneapolis Metro Transit ],44.928,-93.4,6:30 - 7:00 pm,12,0.05249300000000545,0.1284780000000012
87,88,2016-05-03 00:00:00,3 U of M - Como Av - Energy Park Dr - Maryland Av [WB],Pleasant St SE & Scholars Walk,44.974575,-93.236959,2 Franklin Av - Riverside Av - U of M - 8th St SE [ Minneapolis Metro Transit ],44.973,-93.227,7:00 - 8:00 pm,2,0.0015750000000025466,-0.009958999999994944
