,Unnamed: 0,ID,DATE,ROUTE_SURVEYED,BOARDING_LOCATION,BOARDING_LAT,BOARDING_LON,TRANSFERS_FROM_FIRST,ORIGIN_LAT_100M,ORIGIN_LON_100M,TIME_ON,route_type,Vertical_direction,Horizontal_direction
0,0,1,2016-04-11 00:00:00,BLUE METRO Blue Line [SB],Warehouse Hennepin Ave Station,44.980003,-93.27314399999999,6 U of M - Hennepin - Xerxes - France - Southdale [ Minneapolis Metro Transit ],44.948,-93.29899999999999,12:00 pm - 1:00 pm,6,0.03200300000000311,0.025856000000004542
1,1,2,2016-04-11 00:00:00,BLUE METRO Blue Line [SB],38th St Station,44.934613,-93.229421,22 Brklyn Ctr - Lyndale Av N - Cedar - 28th Av S - VA [ Minneapolis Metro Transit ],44.955,-93.24600000000001,12:00 pm - 1:00 pm,22,-0.020386999999999492,0.016578999999993016
2,3,4,2016-04-11 00:00:00,BLUE METRO Blue Line [NB],MOA Transit Station,44.854287,-93.238861,RED METRO Red Line [ Minnesota Valley Transit ],44.83,-93.15299999999999,4:00 - 5:00 pm,RED,0.024287000000001058,-0.08586099999999419
3,7,8,2016-04-12 00:00:00,GREEN METRO Green Line [WB],Capitol / Rice St Station,44.955749,-93.10553399999999,62 Rice St - Little Canada - Shoreview - Signal Hills [ Minneapolis Metro Transit ],45.107,-93.12700000000001,3:00 - 4:00 pm,62,-0.15125100000000202,0.02146599999998955
4,10,11,2016-04-12 00:00:00,GREEN METRO Green Line [EB],Nicollet Mall Station,44.978491,-93.269912,18 Nicollet Av - South Bloomington [ Minneapolis Metro Transit ],44.946999999999996,-93.27799999999999,4:00 - 5:00 pm,18,0.031490999999995495,0.008088000000000761
5,13,14,2016-04-12 00:00:00,GREEN METRO Green Line [EB],Dale St Station,44.955682,-93.125945,65 Dale St - Co Rd B - Rosedale [ Minneapolis Metro Transit ],45.006,-93.145,4:00 - 5:00 pm,65,-0.0503179999999972,0.01905499999999449
6,18,19,2016-04-12 00:00:00,GREEN METRO Green Line [WB],Central Station,44.94607,-93.092202,54 Ltd Stop - W 7St - Airport - MOA [ Minneapolis Metro Transit ],44.873999999999995,-93.228,8:00 - 9:00 pm,54,0.07206999999999653,0.1357979999999941
7,19,20,2016-04-13 00:00:00,21 Uptown - Lake St - Selby  Av [EB],Uptown Station Leave & Gates D/E,44.950072999999996,-93.297885,6 U of M - Hennepin - Xerxes - France - Southdale [ Minneapolis Metro Transit ],44.922,-93.32700000000001,7:00 - 8:00 am,6,0.028073000000006232,0.029115000000004443
8,20,21,2016-04-13 00:00:00,21 Uptown - Lake St - Selby  Av [EB],Uptown Station & Terminal,44.950078999999995,-93.297545,12 Uptown - Excelsior Blvd - Hopkins - Opus [ Minneapolis Metro Transit ],44.938,-93.33200000000001,7:00 - 8:00 am,12,0.012078999999999951,0.03445499999999413
9,21,22,2016-04-13 00:00:00,21 Uptown - Lake St - Selby  Av [EB],Chicago Lake Transit Center & Gate A,44.949296000000004,-93.26228,5 Brklyn Center - Fremont - 26th Av - Chicago - MOA [ Minneapolis Metro Transit ],45.034,-93.295,8:00 - 9:00 am,5,-0.08470400000000211,0.03271999999999764
10,24,25,2016-04-13 00:00:00,21 Uptown - Lake St - Selby  Av [WB],Marshall Ave & Cleveland Ave,44.948417,-93.18724399999999,87 Rosedale - U of M St Paul - Cleveland Av [ Minneapolis Metro Transit ],44.95399999999999,-93.179,9:00 - 10:00 am,87,-0.005583000000001448,-0.008244000000004803
